_id,workPid,dataPid
1902-R,http://mskgent.be/collection/work/id/1902-R,http://mskgent.be/collection/work/data/1902-R
1902-S,http://mskgent.be/collection/work/id/1902-S,http://mskgent.be/collection/work/data/1902-S
1902-T,http://mskgent.be/collection/work/id/1902-T,http://mskgent.be/collection/work/data/1902-T
1902-U,http://mskgent.be/collection/work/id/1902-U,http://mskgent.be/collection/work/data/1902-U
1902-V,http://mskgent.be/collection/work/id/1902-V,http://mskgent.be/collection/work/data/1902-V
1902-W,http://mskgent.be/collection/work/id/1902-W,http://mskgent.be/collection/work/data/1902-W
1902-X,http://mskgent.be/collection/work/id/1902-X,http://mskgent.be/collection/work/data/1902-X
1902-Y,http://mskgent.be/collection/work/id/1902-Y,http://mskgent.be/collection/work/data/1902-Y
1902-Z,http://mskgent.be/collection/work/id/1902-Z,http://mskgent.be/collection/work/data/1902-Z
1903-A,http://mskgent.be/collection/work/id/1903-A,http://mskgent.be/collection/work/data/1903-A
1903-AA,http://mskgent.be/collection/work/id/1903-AA,http://mskgent.be/collection/work/data/1903-AA
1903-AAA,http://mskgent.be/collection/work/id/1903-AAA,http://mskgent.be/collection/work/data/1903-AAA
1903-B,http://mskgent.be/collection/work/id/1903-B,http://mskgent.be/collection/work/data/1903-B
1903-BB,http://mskgent.be/collection/work/id/1903-BB,http://mskgent.be/collection/work/data/1903-BB
1903-BBB,http://mskgent.be/collection/work/id/1903-BBB,http://mskgent.be/collection/work/data/1903-BBB
1903-C,http://mskgent.be/collection/work/id/1903-C,http://mskgent.be/collection/work/data/1903-C
1903-CC,http://mskgent.be/collection/work/id/1903-CC,http://mskgent.be/collection/work/data/1903-CC
1903-CCC,http://mskgent.be/collection/work/id/1903-CCC,http://mskgent.be/collection/work/data/1903-CCC
1903-D,http://mskgent.be/collection/work/id/1903-D,http://mskgent.be/collection/work/data/1903-D
1903-DD,http://mskgent.be/collection/work/id/1903-DD,http://mskgent.be/collection/work/data/1903-DD
1903-DDD,http://mskgent.be/collection/work/id/1903-DDD,http://mskgent.be/collection/work/data/1903-DDD
1903-E,http://mskgent.be/collection/work/id/1903-E,http://mskgent.be/collection/work/data/1903-E
1903-EE,http://mskgent.be/collection/work/id/1903-EE,http://mskgent.be/collection/work/data/1903-EE
1903-F,http://mskgent.be/collection/work/id/1903-F,http://mskgent.be/collection/work/data/1903-F
1903-FF,http://mskgent.be/collection/work/id/1903-FF,http://mskgent.be/collection/work/data/1903-FF
1903-G,http://mskgent.be/collection/work/id/1903-G,http://mskgent.be/collection/work/data/1903-G
1903-GG,http://mskgent.be/collection/work/id/1903-GG,http://mskgent.be/collection/work/data/1903-GG
1903-H,http://mskgent.be/collection/work/id/1903-H,http://mskgent.be/collection/work/data/1903-H
1903-HH,http://mskgent.be/collection/work/id/1903-HH,http://mskgent.be/collection/work/data/1903-HH
1903-I,http://mskgent.be/collection/work/id/1903-I,http://mskgent.be/collection/work/data/1903-I
1903-I [buitenluik links],http://mskgent.be/collection/work/id/1903-I_buitenluik_links,http://mskgent.be/collection/work/data/1903-I_buitenluik_links
1903-I [buitenluik rechts],http://mskgent.be/collection/work/id/1903-I_buitenluik_rechts,http://mskgent.be/collection/work/data/1903-I_buitenluik_rechts
1903-I [linkerluik],http://mskgent.be/collection/work/id/1903-I_linkerluik,http://mskgent.be/collection/work/data/1903-I_linkerluik
1903-I [middenpaneel],http://mskgent.be/collection/work/id/1903-I_middenpaneel,http://mskgent.be/collection/work/data/1903-I_middenpaneel
